127.0.0.1 - - [09/Oct/2019:15:07:20 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:07:21 +0530] "GET /Div/RegForm.html HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:10:54 +0530] "GET /Div/RegForm.html HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:11:57 +0530] "GET /Div/RegForm.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:12:20 +0530] "GET /Div/RegForm.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:18:16 +0530] "GET /Div/RegForm.html HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:18:18 +0530] "GET /Div/RegForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:18:18 +0530] "GET /Div/RegForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:18:18 +0530] "GET /Div/RegForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:18:19 +0530] "GET /Div/RegForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:18:19 +0530] "GET /Div/RegForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:18:20 +0530] "GET /Div/RegForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:18:20 +0530] "GET /Div/RegForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:18:29 +0530] "GET /Div/RegForm.html?fname=&lname=&email=&password%2F=&mobno= HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:28:58 +0530] "GET /Div/Div.html HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:29:46 +0530] "GET /Div/Div.html HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:32:46 +0530] "GET /Div/Div.html HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:33:11 +0530] "GET /Div/Div.html HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:33:29 +0530] "GET /Div/Div.html HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:34:01 +0530] "GET /Div/Div.html HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:40:31 +0530] "GET /Div/Div.html HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:41:51 +0530] "GET /Div/Div.html HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:42:15 +0530] "GET /Div/Div.html HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [09/Oct/2019:15:42:57 +0530] "GET /Div/Div.html HTTP/1.1" 200 1346
